STATION,NAME,DATE,MLY-TAVG-NORMAL,MLY-TAVG-STDDEV,MLY-TMAX-NORMAL,MLY-TMAX-STDDEV,MLY-TMIN-NORMAL,MLY-TMIN-STDDEV
USC00304808,"LITTLE VALLEY, NY US",1,21.8,5.2,30.1,4.8,13.5,5.8
USC00304808,"LITTLE VALLEY, NY US",2,23.1,4.4,32.7,4.4,13.4,4.8
USC00304808,"LITTLE VALLEY, NY US",3,30.5,3.6,41.3,4.0,19.8,3.7
USC00304808,"LITTLE VALLEY, NY US",4,43.2,2.5,54.8,3.3,31.5,2.2
USC00304808,"LITTLE VALLEY, NY US",5,53.3,3.4,65.9,3.9,40.6,3.2
USC00304808,"LITTLE VALLEY, NY US",6,62.5,2.0,74.6,2.3,50.5,2.4
USC00304808,"LITTLE VALLEY, NY US",7,66.4,2.4,78.3,2.9,54.5,2.4
USC00304808,"LITTLE VALLEY, NY US",8,65.4,1.9,76.8,2.3,53.9,2.0
USC00304808,"LITTLE VALLEY, NY US",9,58.3,1.6,69.6,2.4,47.0,1.7
USC00304808,"LITTLE VALLEY, NY US",10,47.4,2.7,58.0,3.3,36.7,2.5
USC00304808,"LITTLE VALLEY, NY US",11,38.1,3.6,46.6,4.4,29.6,3.3
USC00304808,"LITTLE VALLEY, NY US",12,26.9,5.0,34.2,5.5,19.7,4.9
USW00014732,"LA GUARDIA AIRPORT, NY US",1,32.9,4.9,39.3,4.8,26.6,5.1
USW00014732,"LA GUARDIA AIRPORT, NY US",2,35.3,3.3,42.2,3.7,28.5,3.1
USW00014732,"LA GUARDIA AIRPORT, NY US",3,42.2,2.6,49.8,2.9,34.6,2.5
USW00014732,"LA GUARDIA AIRPORT, NY US",4,52.7,2.0,60.9,2.3,44.4,1.9
USW00014732,"LA GUARDIA AIRPORT, NY US",5,62.5,2.4,71.2,2.9,53.9,2.1
USW00014732,"LA GUARDIA AIRPORT, NY US",6,72.2,2.2,80.5,2.6,63.8,1.9
USW00014732,"LA GUARDIA AIRPORT, NY US",7,77.4,2.4,85.3,2.7,69.5,2.2
USW00014732,"LA GUARDIA AIRPORT, NY US",8,76.3,2.0,83.7,2.1,68.9,2.1
USW00014732,"LA GUARDIA AIRPORT, NY US",9,69.1,1.9,76.3,2.0,61.9,2.1
USW00014732,"LA GUARDIA AIRPORT, NY US",10,58.1,2.7,65.2,2.8,51.0,2.7
USW00014732,"LA GUARDIA AIRPORT, NY US",11,48.3,2.5,54.7,2.8,41.8,2.6
USW00014732,"LA GUARDIA AIRPORT, NY US",12,38.2,4.1,44.3,4.2,32.1,4.0
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",1,24.9,5.1,31.2,4.9,18.5,5.3
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",2,26.3,4.0,33.3,4.2,19.2,4.0
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",3,34.0,3.0,42.0,3.4,26.0,2.9
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",4,45.9,2.9,55.0,3.3,36.8,2.7
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",5,56.9,3.3,66.5,3.7,47.4,3.0
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",6,66.3,2.4,75.3,2.7,57.3,2.4
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",7,71.1,2.3,79.9,2.8,62.3,2.1
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",8,69.6,2.1,78.4,2.4,60.8,2.0
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",9,62.2,2.1,71.1,2.5,53.4,2.0
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",10,50.8,2.4,59.0,2.6,42.7,2.4
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",11,40.7,2.8,47.6,3.2,33.9,2.5
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",12,30.1,4.7,36.1,5.1,24.1,4.5
USC00305180,"MAYVILLE, NY US",1,,,,,,
USC00305180,"MAYVILLE, NY US",2,,,,,,
USC00305180,"MAYVILLE, NY US",3,,,,,,
USC00305180,"MAYVILLE, NY US",4,,,,,,
USC00305180,"MAYVILLE, NY US",5,,,,,,
USC00305180,"MAYVILLE, NY US",6,,,,,,
USC00305180,"MAYVILLE, NY US",7,,,,,,
USC00305180,"MAYVILLE, NY US",8,,,,,,
USC00305180,"MAYVILLE, NY US",9,,,,,,
USC00305180,"MAYVILLE, NY US",10,,,,,,
USC00305180,"MAYVILLE, NY US",11,,,,,,
USC00305180,"MAYVILLE, NY US",12,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1,22.6,5.7,30.6,5.3,14.5,6.2
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2,25.9,3.8,34.6,3.7,17.3,4.3
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",3,35.0,3.2,44.4,3.6,25.7,3.0
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",4,47.8,2.5,58.3,3.1,37.3,2.2
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",5,58.3,2.7,69.4,3.3,47.1,2.3
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",6,67.2,2.2,77.9,2.5,56.5,2.5
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",7,71.8,2.2,82.3,2.6,61.4,2.1
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",8,70.1,2.0,80.4,2.1,59.9,2.2
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",9,61.9,1.9,72.2,2.3,51.6,2.0
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",10,49.7,2.5,59.8,2.8,39.6,2.6
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",11,39.7,2.7,47.9,3.3,31.5,2.5
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",12,28.5,4.6,35.8,4.6,21.2,4.7
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",1,21.7,5.7,31.0,4.9,12.5,6.6
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",2,25.2,4.1,35.3,3.8,15.2,4.7
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",3,34.7,3.2,45.4,3.6,23.9,3.2
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",4,47.9,2.6,60.2,3.4,35.6,2.2
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",5,58.7,2.6,71.6,3.0,45.8,2.4
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",6,67.5,2.0,79.6,2.5,55.3,2.1
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",7,71.5,2.0,83.3,2.4,59.7,1.9
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",8,69.9,2.1,81.5,2.2,58.4,2.3
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",9,62.0,2.1,73.6,2.5,50.4,2.3
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",10,50.0,2.4,61.2,2.9,38.9,2.4
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",11,39.5,2.7,48.4,3.4,30.5,2.3
USC00307484,"SARATOGA SPRINGS 4 SW, NY US",12,27.8,4.6,35.8,4.5,19.9,4.9
USC00309389,"WHITEHALL, NY US",1,21.1,6.0,31.0,5.1,11.1,7.2
USC00309389,"WHITEHALL, NY US",2,24.1,4.7,35.5,4.0,12.7,5.8
USC00309389,"WHITEHALL, NY US",3,33.7,3.2,44.9,3.5,22.6,3.4
USC00309389,"WHITEHALL, NY US",4,47.8,2.8,59.7,3.7,36.0,2.3
USC00309389,"WHITEHALL, NY US",5,59.4,2.4,72.0,3.1,46.9,2.2
USC00309389,"WHITEHALL, NY US",6,68.4,2.0,80.7,2.7,56.0,2.3
USC00309389,"WHITEHALL, NY US",7,72.5,2.0,84.6,2.4,60.5,2.2
USC00309389,"WHITEHALL, NY US",8,70.8,2.2,82.4,2.3,59.2,2.5
USC00309389,"WHITEHALL, NY US",9,62.7,2.1,74.3,2.6,51.2,2.2
USC00309389,"WHITEHALL, NY US",10,50.7,2.2,61.4,2.7,40.0,2.2
USC00309389,"WHITEHALL, NY US",11,39.7,2.6,48.4,3.3,31.1,2.3
USC00309389,"WHITEHALL, NY US",12,27.9,4.9,36.0,4.6,19.8,5.4
USC00301401,"CHAZY, NY US",1,17.5,5.9,27.1,5.1,7.9,6.9
USC00301401,"CHAZY, NY US",2,20.4,5.3,30.5,4.6,10.2,6.1
USC00301401,"CHAZY, NY US",3,30.4,3.9,40.3,3.7,20.4,4.3
USC00301401,"CHAZY, NY US",4,44.8,2.7,55.5,3.6,34.2,2.2
USC00301401,"CHAZY, NY US",5,56.4,2.5,67.8,3.1,45.1,2.3
USC00301401,"CHAZY, NY US",6,65.5,2.3,76.4,2.7,54.5,2.5
USC00301401,"CHAZY, NY US",7,69.9,2.1,80.4,2.3,59.4,2.5
USC00301401,"CHAZY, NY US",8,68.0,2.3,78.7,2.1,57.3,2.8
USC00301401,"CHAZY, NY US",9,59.9,2.5,70.2,2.8,49.7,2.6
USC00301401,"CHAZY, NY US",10,48.0,2.4,57.3,2.5,38.8,2.5
USC00301401,"CHAZY, NY US",11,37.4,2.7,45.2,3.1,29.5,2.6
USC00301401,"CHAZY, NY US",12,24.7,5.5,33.1,4.7,16.4,6.4
USC00302610,"ELMIRA, NY US",1,24.0,4.9,32.9,4.7,15.1,5.3
USC00302610,"ELMIRA, NY US",2,26.2,4.1,35.8,4.3,16.5,4.3
USC00302610,"ELMIRA, NY US",3,33.5,3.5,44.4,4.1,22.7,3.2
USC00302610,"ELMIRA, NY US",4,45.8,2.6,57.9,3.3,33.6,2.4
USC00302610,"ELMIRA, NY US",5,56.4,3.3,69.7,3.7,43.0,3.1
USC00302610,"ELMIRA, NY US",6,65.5,2.2,78.2,2.7,52.8,2.3
USC00302610,"ELMIRA, NY US",7,69.8,2.2,82.3,2.8,57.3,2.1
USC00302610,"ELMIRA, NY US",8,68.2,2.3,80.8,2.8,55.7,2.3
USC00302610,"ELMIRA, NY US",9,60.6,1.7,73.1,2.4,48.1,1.9
USC00302610,"ELMIRA, NY US",10,48.8,2.5,60.7,3.2,36.9,2.6
USC00302610,"ELMIRA, NY US",11,39.3,2.7,48.7,3.6,29.9,2.1
USC00302610,"ELMIRA, NY US",12,29.0,4.6,37.2,4.9,20.9,4.5
USC00309425,"WHITESVILLE, NY US",1,,,,,,
USC00309425,"WHITESVILLE, NY US",2,,,,,,
USC00309425,"WHITESVILLE, NY US",3,,,,,,
USC00309425,"WHITESVILLE, NY US",4,,,,,,
USC00309425,"WHITESVILLE, NY US",5,,,,,,
USC00309425,"WHITESVILLE, NY US",6,,,,,,
USC00309425,"WHITESVILLE, NY US",7,,,,,,
USC00309425,"WHITESVILLE, NY US",8,,,,,,
USC00309425,"WHITESVILLE, NY US",9,,,,,,
USC00309425,"WHITESVILLE, NY US",10,,,,,,
USC00309425,"WHITESVILLE, NY US",11,,,,,,
USC00309425,"WHITESVILLE, NY US",12,,,,,,
USC00301521,"CLARYVILLE, NY US",1,,,,,,
USC00301521,"CLARYVILLE, NY US",2,,,,,,
USC00301521,"CLARYVILLE, NY US",3,,,,,,
USC00301521,"CLARYVILLE, NY US",4,,,,,,
USC00301521,"CLARYVILLE, NY US",5,,,,,,
USC00301521,"CLARYVILLE, NY US",6,,,,,,
USC00301521,"CLARYVILLE, NY US",7,,,,,,
USC00301521,"CLARYVILLE, NY US",8,,,,,,
USC00301521,"CLARYVILLE, NY US",9,,,,,,
USC00301521,"CLARYVILLE, NY US",10,,,,,,
USC00301521,"CLARYVILLE, NY US",11,,,,,,
USC00301521,"CLARYVILLE, NY US",12,,,,,,
USC00302454,"EAST SIDNEY, NY US",1,21.3,,31.1,,11.4,
USC00302454,"EAST SIDNEY, NY US",2,23.7,,33.8,,13.5,
USC00302454,"EAST SIDNEY, NY US",3,31.0,,41.9,,20.1,
USC00302454,"EAST SIDNEY, NY US",4,43.9,,56.5,,31.2,
USC00302454,"EAST SIDNEY, NY US",5,54.1,,67.3,,40.9,
USC00302454,"EAST SIDNEY, NY US",6,63.4,,75.5,,51.3,
USC00302454,"EAST SIDNEY, NY US",7,67.4,,79.8,,54.9,
USC00302454,"EAST SIDNEY, NY US",8,66.9,,79.4,,54.3,
USC00302454,"EAST SIDNEY, NY US",9,59.0,,71.1,,46.9,
USC00302454,"EAST SIDNEY, NY US",10,47.2,,58.1,,36.3,
USC00302454,"EAST SIDNEY, NY US",11,37.8,,46.8,,28.8,
USC00302454,"EAST SIDNEY, NY US",12,27.5,,35.7,,19.3,
USC00304772,"LINDLEY 2 N, NY US",1,,,,,,
USC00304772,"LINDLEY 2 N, NY US",2,,,,,,
USC00304772,"LINDLEY 2 N, NY US",3,,,,,,
USC00304772,"LINDLEY 2 N, NY US",4,,,,,,
USC00304772,"LINDLEY 2 N, NY US",5,,,,,,
USC00304772,"LINDLEY 2 N, NY US",6,,,,,,
USC00304772,"LINDLEY 2 N, NY US",7,,,,,,
USC00304772,"LINDLEY 2 N, NY US",8,,,,,,
USC00304772,"LINDLEY 2 N, NY US",9,,,,,,
USC00304772,"LINDLEY 2 N, NY US",10,,,,,,
USC00304772,"LINDLEY 2 N, NY US",11,,,,,,
USC00304772,"LINDLEY 2 N, NY US",12,,,,,,
USC00301761,"COPAKE, NY US",1,22.9,5.5,33.6,4.5,12.2,6.7
USC00301761,"COPAKE, NY US",2,25.8,4.0,37.0,3.7,14.7,4.6
USC00301761,"COPAKE, NY US",3,34.3,3.2,46.2,3.6,22.4,3.3
USC00301761,"COPAKE, NY US",4,46.4,2.6,59.4,3.2,33.5,2.4
USC00301761,"COPAKE, NY US",5,56.8,2.7,70.2,3.2,43.5,2.5
USC00301761,"COPAKE, NY US",6,65.9,2.1,77.8,3.2,53.9,2.4
USC00301761,"COPAKE, NY US",7,70.7,2.3,83.1,2.6,58.3,2.3
USC00301761,"COPAKE, NY US",8,69.3,1.9,81.6,2.1,57.1,2.3
USC00301761,"COPAKE, NY US",9,61.0,1.9,73.0,2.5,49.0,2.4
USC00301761,"COPAKE, NY US",10,49.2,2.7,60.6,2.8,37.8,3.3
USC00301761,"COPAKE, NY US",11,39.7,2.6,50.0,3.2,29.4,2.5
USC00301761,"COPAKE, NY US",12,28.7,4.7,38.1,4.7,19.3,5.0
USC00302574,"ELLENBURG DEPOT, NY US",1,,,,,,
USC00302574,"ELLENBURG DEPOT, NY US",2,,,,,,
USC00302574,"ELLENBURG DEPOT, NY US",3,,,,,,
USC00302574,"ELLENBURG DEPOT, NY US",4,,,,,,
USC00302574,"ELLENBURG DEPOT, NY US",5,,,,,,
USC00302574,"ELLENBURG DEPOT, NY US",6,,,,,,
USC00302574,"ELLENBURG DEPOT, NY US",7,,,,,,
USC00302574,"ELLENBURG DEPOT, NY US",8,,,,,,
USC00302574,"ELLENBURG DEPOT, NY US",9,,,,,,
USC00302574,"ELLENBURG DEPOT, NY US",10,,,,,,
USC00302574,"ELLENBURG DEPOT, NY US",11,,,,,,
USC00302574,"ELLENBURG DEPOT, NY US",12,,,,,,
USC00303025,"FRANKLINVILLE, NY US",1,20.8,5.5,29.8,5.0,11.9,6.2
USC00303025,"FRANKLINVILLE, NY US",2,22.2,4.6,32.5,4.5,11.9,5.2
USC00303025,"FRANKLINVILLE, NY US",3,30.1,3.8,41.2,3.8,19.0,4.1
USC00303025,"FRANKLINVILLE, NY US",4,42.8,2.5,54.7,3.4,30.8,2.1
USC00303025,"FRANKLINVILLE, NY US",5,53.1,3.3,66.2,3.9,40.1,3.2
USC00303025,"FRANKLINVILLE, NY US",6,62.4,2.2,74.7,2.7,50.0,2.7
USC00303025,"FRANKLINVILLE, NY US",7,66.3,2.0,78.4,2.5,54.3,2.0
USC00303025,"FRANKLINVILLE, NY US",8,65.0,1.8,77.0,2.3,53.1,1.8
USC00303025,"FRANKLINVILLE, NY US",9,58.0,1.7,69.8,2.4,46.1,1.8
USC00303025,"FRANKLINVILLE, NY US",10,47.0,2.6,58.3,3.1,35.7,2.6
USC00303025,"FRANKLINVILLE, NY US",11,37.2,3.1,46.2,3.9,28.2,2.7
USC00303025,"FRANKLINVILLE, NY US",12,26.4,5.1,34.3,5.4,18.4,5.1
USC00308578,"TRENTON FALLS, NY US",1,,,,,,
USC00308578,"TRENTON FALLS, NY US",2,,,,,,
USC00308578,"TRENTON FALLS, NY US",3,,,,,,
USC00308578,"TRENTON FALLS, NY US",4,,,,,,
USC00308578,"TRENTON FALLS, NY US",5,,,,,,
USC00308578,"TRENTON FALLS, NY US",6,,,,,,
USC00308578,"TRENTON FALLS, NY US",7,,,,,,
USC00308578,"TRENTON FALLS, NY US",8,,,,,,
USC00308578,"TRENTON FALLS, NY US",9,,,,,,
USC00308578,"TRENTON FALLS, NY US",10,,,,,,
USC00308578,"TRENTON FALLS, NY US",11,,,,,,
USC00308578,"TRENTON FALLS, NY US",12,,,,,,
USC00309303,"WEST SAND LAKE 2 S, NY US",1,,,,,,
USC00309303,"WEST SAND LAKE 2 S, NY US",2,,,,,,
USC00309303,"WEST SAND LAKE 2 S, NY US",3,,,,,,
USC00309303,"WEST SAND LAKE 2 S, NY US",4,,,,,,
USC00309303,"WEST SAND LAKE 2 S, NY US",5,,,,,,
USC00309303,"WEST SAND LAKE 2 S, NY US",6,,,,,,
USC00309303,"WEST SAND LAKE 2 S, NY US",7,,,,,,
USC00309303,"WEST SAND LAKE 2 S, NY US",8,,,,,,
USC00309303,"WEST SAND LAKE 2 S, NY US",9,,,,,,
USC00309303,"WEST SAND LAKE 2 S, NY US",10,,,,,,
USC00309303,"WEST SAND LAKE 2 S, NY US",11,,,,,,
USC00309303,"WEST SAND LAKE 2 S, NY US",12,,,,,,
USC00306314,"OSWEGO EAST, NY US",1,24.1,5.1,30.0,4.7,18.1,5.6
USC00306314,"OSWEGO EAST, NY US",2,26.4,3.8,32.7,4.0,20.1,3.8
USC00306314,"OSWEGO EAST, NY US",3,33.8,3.3,40.6,3.7,27.0,3.1
USC00306314,"OSWEGO EAST, NY US",4,45.4,2.8,53.2,3.5,37.6,2.3
USC00306314,"OSWEGO EAST, NY US",5,55.9,3.0,64.8,3.5,47.0,2.8
USC00306314,"OSWEGO EAST, NY US",6,65.6,2.5,74.5,2.8,56.8,2.4
USC00306314,"OSWEGO EAST, NY US",7,70.9,2.3,79.2,2.6,62.6,2.2
USC00306314,"OSWEGO EAST, NY US",8,69.8,1.9,78.0,2.1,61.6,1.8
USC00306314,"OSWEGO EAST, NY US",9,62.5,2.0,70.4,2.5,54.5,1.7
USC00306314,"OSWEGO EAST, NY US",10,51.2,2.5,58.3,2.8,44.2,2.3
USC00306314,"OSWEGO EAST, NY US",11,41.1,3.1,46.7,3.7,35.4,2.7
USC00306314,"OSWEGO EAST, NY US",12,30.0,4.5,35.2,4.7,24.8,4.6
USC00303144,"GARDNERVILLE, NY US",1,,,,,,
USC00303144,"GARDNERVILLE, NY US",2,,,,,,
USC00303144,"GARDNERVILLE, NY US",3,,,,,,
USC00303144,"GARDNERVILLE, NY US",4,,,,,,
USC00303144,"GARDNERVILLE, NY US",5,,,,,,
USC00303144,"GARDNERVILLE, NY US",6,,,,,,
USC00303144,"GARDNERVILLE, NY US",7,,,,,,
USC00303144,"GARDNERVILLE, NY US",8,,,,,,
USC00303144,"GARDNERVILLE, NY US",9,,,,,,
USC00303144,"GARDNERVILLE, NY US",10,,,,,,
USC00303144,"GARDNERVILLE, NY US",11,,,,,,
USC00303144,"GARDNERVILLE, NY US",12,,,,,,
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",1,21.5,5.5,28.6,5.1,14.5,6.0
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",2,24.3,4.2,32.1,4.7,16.6,3.9
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",3,32.1,3.4,40.9,4.3,23.2,2.9
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",4,44.5,2.9,54.3,3.6,34.6,2.7
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",5,54.2,3.0,65.0,3.6,43.5,2.7
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",6,62.6,2.6,72.7,3.1,52.4,2.7
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",7,66.7,2.0,76.7,2.4,56.8,1.8
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",8,65.4,1.8,75.3,2.0,55.5,1.9
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",9,57.9,2.4,66.8,3.7,49.0,1.6
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",10,47.3,3.4,56.8,3.4,37.8,3.8
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",11,37.9,3.1,44.5,3.9,31.3,2.7
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",12,26.4,5.0,32.4,5.4,20.4,4.7
USW00014743,"CANTON 4 SE, NY US",1,15.7,6.3,26.0,5.5,5.4,7.2
USW00014743,"CANTON 4 SE, NY US",2,18.8,5.2,29.6,4.6,8.0,6.1
USW00014743,"CANTON 4 SE, NY US",3,28.7,4.1,38.8,3.9,18.7,4.5
USW00014743,"CANTON 4 SE, NY US",4,43.1,3.0,53.4,3.8,32.9,2.6
USW00014743,"CANTON 4 SE, NY US",5,55.0,2.8,65.7,3.4,44.3,2.4
USW00014743,"CANTON 4 SE, NY US",6,64.2,2.5,74.5,2.9,53.8,2.6
USW00014743,"CANTON 4 SE, NY US",7,68.7,2.0,78.9,2.3,58.5,2.1
USW00014743,"CANTON 4 SE, NY US",8,66.7,2.1,77.3,2.4,56.1,2.1
USW00014743,"CANTON 4 SE, NY US",9,58.8,2.5,69.6,2.8,48.1,2.7
USW00014743,"CANTON 4 SE, NY US",10,46.9,2.6,56.9,2.8,36.9,2.8
USW00014743,"CANTON 4 SE, NY US",11,36.5,3.0,45.1,3.6,28.0,2.9
USW00014743,"CANTON 4 SE, NY US",12,23.5,6.2,32.4,5.4,14.6,7.2
USC00309670,"YORKTOWN HEIGHTS 1 W, NY US",1,26.6,5.4,34.5,5.1,18.7,5.8
USC00309670,"YORKTOWN HEIGHTS 1 W, NY US",2,29.6,3.6,38.3,4.0,21.0,3.5
USC00309670,"YORKTOWN HEIGHTS 1 W, NY US",3,37.7,3.1,46.8,3.5,28.5,3.0
USC00309670,"YORKTOWN HEIGHTS 1 W, NY US",4,49.3,2.3,59.2,2.8,39.3,2.1
USC00309670,"YORKTOWN HEIGHTS 1 W, NY US",5,59.2,2.6,69.4,3.1,48.9,2.2
USC00309670,"YORKTOWN HEIGHTS 1 W, NY US",6,68.0,1.9,77.7,2.3,58.4,1.9
USC00309670,"YORKTOWN HEIGHTS 1 W, NY US",7,72.7,2.1,82.1,2.4,63.3,2.1
