STATION,NAME,DATE,MLY-DUTR-NORMAL,MLY-DUTR-STDDEV,MLY-PRCP-25PCTL,MLY-PRCP-50PCTL,MLY-PRCP-75PCTL,MLY-PRCP-AVGNDS-GE001HI,MLY-PRCP-AVGNDS-GE010HI,MLY-PRCP-AVGNDS-GE050HI,MLY-PRCP-AVGNDS-GE100HI,MLY-PRCP-NORMAL
USC00303025,"FRANKLINVILLE, NY US",5,26.1,2.4,2.47,3.31,4.75,13.9,8.4,2.6,0.4,3.75
USC00303025,"FRANKLINVILLE, NY US",6,24.7,3.1,2.86,4.31,5.75,14.7,9.0,3.1,0.9,4.4
USC00303025,"FRANKLINVILLE, NY US",7,24.1,2.3,3.36,4.15,5.89,13.0,8.7,3.4,0.9,4.58
USC00303025,"FRANKLINVILLE, NY US",8,23.9,2.0,2.68,3.52,4.85,12.6,8.0,2.4,0.9,3.94
USC00303025,"FRANKLINVILLE, NY US",9,23.6,2.6,2.96,4.3,5.41,13.6,8.7,2.8,1.0,4.44
USC00303025,"FRANKLINVILLE, NY US",10,22.6,2.5,2.5,3.31,4.92,15.0,8.7,2.3,0.5,3.78
USC00303025,"FRANKLINVILLE, NY US",11,18.0,2.8,2.65,3.45,4.44,16.7,8.9,2.2,0.4,3.63
USC00303025,"FRANKLINVILLE, NY US",12,15.9,2.2,2.36,2.81,4.07,18.9,9.6,1.3,0.2,3.2
USC00308578,"TRENTON FALLS, NY US",1,,,3.0,3.67,4.37,15.4,9.9,2.3,0.3,3.75
USC00308578,"TRENTON FALLS, NY US",2,,,2.55,3.06,3.93,12.1,8.0,1.9,0.4,3.2
USC00308578,"TRENTON FALLS, NY US",3,,,2.84,3.52,5.04,12.2,8.6,2.7,0.8,3.82
USC00308578,"TRENTON FALLS, NY US",4,,,2.74,3.93,5.1,12.2,8.7,2.5,0.7,4.14
USC00308578,"TRENTON FALLS, NY US",5,,,2.24,3.63,5.81,13.0,8.9,2.8,0.8,4.18
USC00308578,"TRENTON FALLS, NY US",6,,,2.98,4.43,5.41,12.5,8.0,3.1,1.1,4.42
USC00308578,"TRENTON FALLS, NY US",7,,,2.97,4.28,5.41,11.3,8.0,3.2,1.3,4.56
